cluster,observation_date,number_found,precipitation,humidity,wind_speed,temperature,root_zone_soil_wetness,surface_soil_wetness,soil_moisture
5,2019-08-01,3024970.0,0.08076923076923077,75.23538461538462,1.4400000000000002,21.071538461538463,0.5569230769230769,0.5892307692307692,0.5853846153846154
5,2019-09-01,11103100.0,1.633,72.84633333333333,1.5596666666666665,17.07133333333333,0.482,0.4886666666666667,0.48533333333333334
5,2019-09-29,100000.0,0.03,66.75,2.07,15.64,0.44,0.42,0.44
5,2019-10-01,9111800.0,7.285,84.59166666666667,1.9733333333333334,19.921666666666667,0.47500000000000003,0.53,0.49
5,2019-12-13,1100010000.0,5.7299999999999995,94.73,2.25,-1.18,0.7200000000000001,0.75,0.7233333333333333
5,2019-12-14,1000.0,13.37,98.44,2.5,1.71,0.74,0.79,0.79
5,2019-12-17,10000.0,10.24,90.38,1.75,-3.56,0.82,0.82,0.8
5,2020-01-17,30250.0,0.036,73.172,4.632,-11.276,0.826,0.8219999999999998,0.8099999999999999
5,2020-01-20,14200.0,0.02,86.88,3.95,-11.59,0.85,0.8400000000000001,0.82
5,2020-02-17,2000.0,0.01,95.315,2.36,-7.265000000000001,0.73,0.75,0.805
5,2020-02-19,12000.0,0.07,92.38,4.12,-4.35,0.88,0.85,0.85
5,2020-02-20,21000.0,0.013333333333333334,90.16666666666667,2.486666666666667,-9.73,0.8066666666666666,0.7966666666666667,0.8133333333333334
5,2020-02-21,212000.0,0.0,98.75,2.77,-13.99,0.8,0.79,0.85
5,2020-03-07,113900.0,0.08333333333333333,75.26444444444445,3.888888888888889,-1.8644444444444446,0.8044444444444445,0.8,0.8077777777777777
5,2020-03-29,10000.0,7.89,95.69,3.04,5.4,0.87,0.85,0.84
5,2020-04-09,100700.0,15.25,84.19,3.92,4.94,0.85,0.85,0.82
5,2020-04-10,10001900.0,0.992,81.95,4.938,1.7719999999999998,0.836,0.8160000000000001,0.8699999999999999
5,2020-04-16,300.0,0.64,73.0,2.79,0.15,0.86,0.84,0.83
5,2020-05-12,200.0,0.2,68.12,2.92,4.62,0.76,0.77,0.8
6,2015-10-09,2000.0,24.73,90.25,2.7,13.7,0.66,0.71,0.63
6,2018-09-01,1000.0,0.08,80.69,2.02,22.64,0.5,0.52,0.49
6,2018-10-01,10300.0,9.51,94.56,1.8,11.63,0.58,0.61,0.57
6,2019-06-01,200.0,1.09,88.88,1.47,8.79,0.73,0.8,0.74
6,2019-07-01,900.0,0.0,71.19,1.3999999999999997,20.23,0.66,0.68,0.65
6,2019-08-01,21000.0,0.0,68.45666666666666,1.8033333333333335,21.97,0.5733333333333334,0.54,0.5533333333333333
6,2019-09-01,10000.0,11.66,75.94,2.29,18.26,0.56,0.55,0.54
6,2019-10-01,1000.0,0.61,73.06,2.34,22.26,0.43,0.41,0.43
6,2020-02-12,13200.0,0.5499999999999999,89.81,3.3000000000000003,-2.0233333333333334,0.8300000000000001,0.8466666666666667,0.7866666666666667
6,2020-02-22,22000.0,0.035,86.185,4.16,-2.2800000000000002,0.825,0.845,0.785
6,2020-03-08,1000.0,0.01,78.19,3.19,3.59,0.8,0.83,0.76
6,2020-04-04,36501.0,0.51,88.81,1.43,6.790000000000001,0.8,0.82,0.77
6,2020-04-14,10000.0,0.31,63.19,3.52,2.74,0.77,0.8,0.75
6,2021-03-04,1000.0,0.02,72.56,4.64,-3.09,0.77,0.79,0.74
7,2015-11-30,1000.0,0.0,74.5,2.3,0.4,0.58,0.59,0.59
7,2018-08-01,100.0,5.56,86.44,2.93,23.74,0.48,0.48,0.47
7,2019-10-01,12400.0,21.101999999999997,89.952,2.7039999999999997,19.42,0.552,0.65,0.5740000000000001
7,2020-01-31,11000.0,0.55,95.56,0.84,-8.68,0.62,0.67,0.63
7,2020-03-08,11000.0,0.0,79.5,3.59,2.67,0.65,0.69,0.67
7,2020-03-31,10000.0,1.91,83.62,3.02,4.58,0.74,0.77,0.75
8,2013-08-01,100.0,3.43,79.31,4.02,20.66,0.57,0.55,0.55
8,2018-08-01,13000.0,0.192,82.176,4.246,22.633999999999997,0.558,0.546,0.54
8,2018-09-01,1000.0,0.34,83.38,1.86,22.3,0.52,0.54,0.52
8,2019-08-01,1026100.0,0.4318181818181818,73.29363636363637,1.7909090909090908,21.17,0.5918181818181818,0.6045454545454545,0.579090909090909
8,2020-01-07,11200.0,0.07,85.81,4.52,0.98,0.73,0.73,0.6999999999999998
8,2020-01-27,500.0,1.21,93.81,3.73,-1.77,0.75,0.77,0.72
8,2020-02-23,1900.0,0.0,81.69,5.59,1.77,0.79,0.78,0.75
8,2020-04-23,1000.0,2.01,85.88,2.1,5.7,0.77,0.77,0.74
9,2015-01-31,10000.0,0.08,91.62,3.95,-14.74,0.77,0.79,0.77
9,2018-08-01,1600.0,8.915,92.965,1.7550000000000001,21.759999999999998,0.62,0.6575,0.6375
9,2018-09-01,13400.0,0.3033333333333333,86.14333333333333,1.7533333333333332,20.486666666666668,0.5433333333333333,0.5733333333333334,0.5666666666666668
9,2018-10-01,2133100.0,3.3589999999999995,95.41900000000001,1.201,11.078,0.619,0.668,0.655
9,2019-08-01,233100.0,0.0,78.10285714285715,1.2185714285714284,19.79571428571429,0.6957142857142857,0.7214285714285714,0.7299999999999999
9,2020-02-21,10000.0,0.0,98.56,2.65,-13.03,0.84,0.81,0.89
9,2020-02-22,10000.0,0.0,96.38,3.29,-5.1,0.91,0.88,0.91
9,2020-05-05,300.0,0.0,70.56,2.23,4.66,0.8,0.79,0.86
9,2022-11-08,200.0,0.0,74.31,2.18,2.34,0.56,0.59,0.59
9,2022-11-11,2000.0,14.59,96.0,2.52,13.13,0.62,0.67,0.62
