observation_date,number_found,running_total
2019-11-29,1000.0,50260970.0
2019-12-09,10000.0,50270970.0
2019-12-09,12000.0,50282970.0
2019-12-09,1000.0,50283970.0
2019-12-10,1000.0,50284970.0
2019-12-10,100000.0,50384970.0
2019-12-10,100000.0,50484970.0
2019-12-10,10000.0,50494970.0
2019-12-10,1000.0,50495970.0
2019-12-10,10000.0,50505970.0
2019-12-11,1000.0,50506970.0
2019-12-12,10000.0,50516970.0
2019-12-12,100.0,50517070.0
2019-12-12,,
2019-12-12,10000.0,50527070.0
2019-12-13,1000000000.0,1050527070.0
2019-12-13,10000.0,1050537070.0
2019-12-13,100000000.0,1150537070.0
2019-12-14,1000.0,1150538070.0
2019-12-17,1000.0,1150539070.0
2019-12-17,10000.0,1150549070.0
2019-12-17,1000.0,1150550070.0
2020-01-01,1000.0,1150551070.0
2020-01-07,10000.0,1150561070.0
2020-01-07,1000.0,1150562070.0
2020-01-07,200.0,1150562270.0
2020-01-17,50.0,1150562320.0
2020-01-17,200.0,1150562520.0
2020-01-17,10000.0,1150572520.0
2020-01-17,10000.0,1150582520.0
2020-01-17,10000.0,1150592520.0
2020-01-20,,
2020-01-20,2000.0,1150594520.0
2020-01-20,1000.0,1150595520.0
2020-01-20,200.0,1150595720.0
2020-01-20,10000.0,1150605720.0
2020-01-20,1000.0,1150606720.0
2020-01-27,500.0,1150607220.0
2020-01-27,100000.0,1150707220.0
2020-01-28,100000000.0,1250707220.0
2020-01-28,10000.0,1250717220.0
2020-01-28,100000.0,1250817220.0
2020-01-28,10000000.0,1260817220.0
2020-01-28,100000000.0,1360817220.0
2020-01-31,1000.0,1360818220.0
2020-01-31,10000.0,1360828220.0
2020-01-31,1000.0,1360829220.0
2020-02-02,10000.0,1360839220.0
2020-02-03,,
2020-02-03,1000.0,1360840220.0
2020-02-03,1000.0,1360841220.0
2020-02-05,1000.0,1360842220.0
2020-02-05,1000.0,1360843220.0
2020-02-05,100.0,1360843320.0
2020-02-12,200.0,1360843520.0
2020-02-12,10000.0,1360853520.0
2020-02-12,1000.0,1360854520.0
2020-02-12,500.0,1360855020.0
2020-02-12,1000.0,1360856020.0
2020-02-12,500.0,1360856520.0
2020-02-17,100.0,1360856620.0
2020-02-17,1000.0,1360857620.0
2020-02-17,1000.0,1360858620.0
2020-02-17,1000.0,1360859620.0
2020-02-17,1000.0,1360860620.0
2020-02-17,10000.0,1360870620.0
2020-02-17,1000.0,1360871620.0
2020-02-17,500.0,1360872120.0
2020-02-19,10000.0,1360882120.0
2020-02-19,,
2020-02-19,500.0,1360882620.0
2020-02-19,1000.0,1360883620.0
2020-02-19,500.0,1360884120.0
2020-02-20,10000.0,1360894120.0
2020-02-20,1000.0,1360895120.0
2020-02-20,10000.0,1360905120.0
2020-02-21,10000.0,1360915120.0
2020-02-21,10000.0,1360925120.0
2020-02-21,100000.0,1361025120.0
2020-02-21,1000.0,1361026120.0
2020-02-21,1000.0,1361027120.0
2020-02-21,100000.0,1361127120.0
2020-02-21,1000.0,1361128120.0
2020-02-21,10000.0,1361138120.0
2020-02-22,100000.0,1361238120.0
2020-02-22,10000.0,1361248120.0
2020-02-22,10000.0,1361258120.0
2020-02-22,1000.0,1361259120.0
2020-02-22,1000.0,1361260120.0
2020-02-22,1000.0,1361261120.0
2020-02-22,10000.0,1361271120.0
2020-02-22,1000.0,1361272120.0
2020-02-22,10000.0,1361282120.0
2020-02-23,100000.0,1361382120.0
2020-02-23,1000.0,1361383120.0
2020-02-23,300.0,1361383420.0
2020-02-23,100.0,1361383520.0
2020-02-23,500.0,1361384020.0
2020-03-07,100000.0,1361484020.0
2020-03-07,200.0,1361484220.0
2020-03-07,1000.0,1361485220.0
2020-03-07,10000.0,1361495220.0
2020-03-07,1000.0,1361496220.0
2020-03-07,300.0,1361496520.0
2020-03-07,200.0,1361496720.0
2020-03-07,1000.0,1361497720.0
2020-03-07,200.0,1361497920.0
2020-03-08,10000.0,1361507920.0
2020-03-08,1000.0,1361508920.0
2020-03-08,1000.0,1361509920.0
2020-03-09,1000.0,1361510920.0
2020-03-09,1000.0,1361511920.0
2020-03-09,200.0,1361512120.0
2020-03-09,1000000.0,1362512120.0
2020-03-09,10000.0,1362522120.0
2020-03-09,1000.0,1362523120.0
2020-03-09,1000.0,1362524120.0
2020-03-09,10000.0,1362534120.0
2020-03-10,1000.0,1362535120.0
2020-03-10,10000.0,1362545120.0
2020-03-10,1000.0,1362546120.0
2020-03-10,100000.0,1362646120.0
2020-03-10,10000.0,1362656120.0
2020-03-10,200.0,1362656320.0
2020-03-10,1000.0,1362657320.0
2020-03-10,1000.0,1362658320.0
2020-03-10,10000.0,1362668320.0
2020-03-10,400.0,1362668720.0
2020-03-10,1000.0,1362669720.0
2020-03-10,1000.0,1362670720.0
2020-03-11,500.0,1362671220.0
2020-03-11,200.0,1362671420.0
2020-03-11,1000.0,1362672420.0
2020-03-12,1000.0,1362673420.0
2020-03-12,200.0,1362673620.0
2020-03-12,1000.0,1362674620.0
2020-03-29,10000.0,1362684620.0
2020-03-31,100.0,1362684720.0
2020-03-31,1000.0,1362685720.0
2020-03-31,1000.0,1362686720.0
2020-03-31,100.0,1362686820.0
2020-03-31,300.0,1362687120.0
2020-03-31,1000.0,1362688120.0
2020-03-31,200.0,1362688320.0
2020-03-31,1000.0,1362689320.0
2020-03-31,10000.0,1362699320.0
2020-04-02,1000.0,1362700320.0
2020-04-02,1000.0,1362701320.0
2020-04-02,300.0,1362701620.0
2020-04-02,10000.0,1362711620.0
2020-04-02,10000.0,1362721620.0
2020-04-02,500.0,1362722120.0
2020-04-02,10000.0,1362732120.0
2020-04-02,50.0,1362732170.0
2020-04-03,2000.0,1362734170.0
2020-04-03,10000.0,1362744170.0
2020-04-03,10000.0,1362754170.0
2020-04-03,1000.0,1362755170.0
2020-04-03,10000.0,1362765170.0
2020-04-03,10000.0,1362775170.0
2020-04-03,1000000.0,1363775170.0
2020-04-03,1000.0,1363776170.0
2020-04-03,1000.0,1363777170.0
2020-04-03,10000.0,1363787170.0
2020-04-03,10000.0,1363797170.0
2020-04-03,1000.0,1363798170.0
2020-04-03,10000.0,1363808170.0
2020-04-03,10000.0,1363818170.0
2020-04-03,10000.0,1363828170.0
2020-04-03,100000.0,1363928170.0
2020-04-03,10000.0,1363938170.0
2020-04-03,100000000.0,1463938170.0
2020-04-04,10000.0,1463948170.0
2020-04-04,500.0,1463948670.0
2020-04-04,1001.0,1463949671.0
2020-04-04,1000.0,1463950671.0
2020-04-04,10000.0,1463960671.0
2020-04-04,10000.0,1463970671.0
2020-04-04,1000.0,1463971671.0
2020-04-04,1000.0,1463972671.0
2020-04-04,1000.0,1463973671.0
2020-04-04,1000.0,1463974671.0
2020-04-05,10000.0,1463984671.0
2020-04-05,2000.0,1463986671.0
2020-04-06,200.0,1463986871.0
2020-04-06,1000.0,1463987871.0
2020-04-07,10000.0,1463997871.0
2020-04-07,1000.0,1463998871.0
2020-04-07,10000.0,1464008871.0
2020-04-08,1000.0,1464009871.0
2020-04-08,1000000.0,1465009871.0
2020-04-09,200.0,1465010071.0
2020-04-09,100000.0,1465110071.0
2020-04-09,500.0,1465110571.0
2020-04-10,10000000.0,1475110571.0
2020-04-10,200.0,1475110771.0
2020-04-10,1000.0,1475111771.0
2020-04-10,500.0,1475112271.0
2020-04-10,200.0,1475112471.0
2020-04-11,10000.0,1475122471.0
2020-04-11,10000.0,1475132471.0
2020-04-11,1000.0,1475133471.0
2020-04-11,500.0,1475133971.0
2020-04-11,200.0,1475134171.0
2020-04-11,10000.0,1475144171.0
2020-04-11,1000.0,1475145171.0
2020-04-11,1000000.0,1476145171.0
2020-04-11,10000000.0,1486145171.0
2020-04-11,10000.0,1486155171.0
2020-04-11,200.0,1486155371.0
2020-04-11,200.0,1486155571.0
2020-04-11,200.0,1486155771.0
2020-04-12,1000.0,1486156771.0
2020-04-12,100000.0,1486256771.0
2020-04-12,10000.0,1486266771.0
2020-04-12,1000000.0,1487266771.0
2020-04-12,1000.0,1487267771.0
2020-04-12,100000.0,1487367771.0
2020-04-12,100000.0,1487467771.0
2020-04-12,10000.0,1487477771.0
2020-04-12,1000.0,1487478771.0
2020-04-12,1000.0,1487479771.0
2020-04-12,500.0,1487480271.0
2020-04-12,10000000.0,1497480271.0
2020-04-13,10000.0,1497490271.0
2020-04-13,1000.0,1497491271.0
2020-04-13,1000.0,1497492271.0
2020-04-14,10000.0,1497502271.0
2020-04-15,1000.0,1497503271.0
2020-04-15,2000.0,1497505271.0
2020-04-15,200.0,1497505471.0
2020-04-16,300.0,1497505771.0
2020-04-16,1000.0,1497506771.0
2020-04-16,10000.0,1497516771.0
2020-04-16,1000.0,1497517771.0
2020-04-16,10000.0,1497527771.0
2020-04-16,10000.0,1497537771.0
2020-04-18,1000.0,1497538771.0
2020-04-23,1000.0,1497539771.0
2020-04-25,10000.0,1497549771.0
2020-05-05,300.0,1497550071.0
2020-05-11,1000.0,1497551071.0
2020-05-12,200.0,1497551271.0
2020-05-14,1000.0,1497552271.0
2020-05-15,,
2020-06-11,,
2020-06-17,1000.0,1497553271.0
2020-07-08,,
2020-07-08,,
2020-07-08,,
2020-07-08,,
2020-07-08,,
2020-07-08,,
2020-07-08,,
2020-07-08,,
2020-07-08,,
2020-07-08,,
2020-07-16,,
2020-07-27,,
2020-07-30,,
2020-08-26,,
2020-08-26,,
2020-08-26,,
2020-08-26,,
2020-09-09,,
2020-09-09,,
2020-09-09,,
2020-09-09,,
2020-09-10,,
2020-09-10,,
2020-09-10,,
2020-09-10,,
2020-09-14,500.0,1497553771.0
2020-10-06,,
2021-03-04,1000.0,1497554771.0
2021-06-11,,
2021-07-21,,
2021-10-01,,
2022-05-17,,
2022-07-08,,
2022-07-19,,
2022-09-28,,
2022-11-08,200.0,1497554971.0
2022-11-11,1000.0,1497555971.0
2022-11-11,1000.0,1497556971.0
2023-03-23,300.0,1497557271.0
2023-03-23,,
2023-03-23,200.0,1497557471.0
2023-03-30,,
2023-05-10,,
2023-05-11,,
2023-05-11,,
2023-05-11,,
2023-07-24,,
2023-07-24,,
2023-07-24,,
2023-07-24,,
2023-07-24,,
